2025-07-01 12:18:23,034 | blog.main | INFO | → GET http://127.0.0.1:8000/blog/50
2025-07-01 12:18:23,035 | database | INFO | DB session opened
2025-07-01 12:18:23,036 | database | ERROR | DB session error: 401: Could not validate credentials
2025-07-01 12:18:23,037 | database | INFO | DB session closed
2025-07-01 12:18:23,038 | blog.main | INFO | ← GET http://127.0.0.1:8000/blog/50 — 401
2025-06-29 16:53:46,543 | blog.main | INFO | → GET http://127.0.0.1:8000/docs
2025-06-29 16:53:46,544 | blog.main | INFO | ← GET http://127.0.0.1:8000/docs — 200
2025-06-29 16:53:46,746 | blog.main | INFO | → GET http://127.0.0.1:8000/openapi.json
2025-06-29 16:53:46,754 | blog.main | INFO | ← GET http://127.0.0.1:8000/openapi.json — 200
2025-06-29 17:37:00,634 | blog.main | INFO | → GET http://127.0.0.1:8000/blog/90
2025-06-29 17:37:00,688 | database | INFO | DB session opened
2025-06-29 17:37:00,692 | database | ERROR | DB session error: 401: Not authenticated
2025-06-29 17:37:00,701 | database | INFO | DB session closed
2025-06-29 17:37:00,704 | blog.main | INFO | ← GET http://127.0.0.1:8000/blog/90 — 401
2025-06-29 17:38:50,625 | blog.main | INFO | → POST http://127.0.0.1:8000/login
2025-06-29 17:38:50,658 | database | INFO | DB session opened
2025-06-29 17:38:51,130 | database | INFO | DB session closed
2025-06-29 17:38:51,130 | blog.main | INFO | ← POST http://127.0.0.1:8000/login — 200
2025-06-29 17:38:56,068 | blog.main | INFO | → GET http://127.0.0.1:8000/blog/90
2025-06-29 17:38:56,068 | database | INFO | DB session opened
2025-06-29 17:38:56,076 | routers.blog | INFO | API call: GET /blog/90
2025-06-29 17:38:56,083 | repository.blog | ERROR | 90 is Not found
2025-06-29 17:38:56,086 | database | INFO | DB session closed
2025-06-29 17:38:56,086 | blog.main | INFO | ← GET http://127.0.0.1:8000/blog/90 — 200
